STCOU,Land_mass
28115,501.02
28117,418.28
28119,406.52
28121,806.16
28123,610.43
28125,434.92
28127,590.57
28129,637.32
28131,448.09
28133,707.26
28135,652.13
28137,410.98
28139,460
28141,444.57
28143,480.82
28145,416.91
28147,404.47
28149,618.82
28151,761.31
28153,813.54
28155,423.38
28157,687.71
28159,610.15
28161,495.03
28163,934.2
29000,69708.81
29001,569.35
29003,436.53
29005,547.39
29007,696.83
29009,790.96
29011,596.78
29013,851.45
29015,752.55
29017,621.21
29019,691.19
29021,414.6
29023,699.01
29025,429.75
29027,847.26
29029,708.9
29031,586.33
29033,702.35
29035,509.06
29037,702.73
29039,498.54
29041,768.3
29043,564.09
29045,511.93
29047,409.16
29049,423.5
29051,399.11
29053,570.25
29055,743.82
29057,506.34
29059,542.87
29061,569.12
29063,425.8
29065,754.56
29067,814.67
29069,547.14
29071,929.64
29073,524.53
29075,491.84
29077,677.84
29079,438.01
29081,726.5
29083,732.61
29085,411.77
29087,469.09
29089,470.58
29091,928.39
29093,552.09
29095,616.16
29097,641.37
29099,664.12
29101,833.09
29103,506.8
29105,768.03
29107,638.9
29109,613.42
29111,510.88
29113,640.44
29115,621.5
29117,538.51
29119,539.74
29121,812.58
29123,497.64
29125,530.01
29127,444.07
29129,455.21
29131,599.98
29133,428.93
29135,418.87
29137,670.26
29139,541.97
29141,613.94
29143,698.07
29145,626.72
29147,877.81
29149,791.65
29151,613.44
29153,755.13
29155,512.44
29157,484.3
29159,686.38
29161,674.32
29163,684.84
29165,427.26
29167,642.51
29169,551.44
29171,519.7
29173,483.84
29175,487.69
29177,573.62
29179,814.47
29181,631.71
29183,593.54
29185,701.95
29186,508.96
29187,452.43
29189,523.61
29195,764.62
29197,308.18
29199,439.29
29201,426.06
29203,1004.05
29205,502.45
29207,828.99
29209,510.95
29211,651.48
29213,651.53
29215,1179.33
29217,837.11
29219,437.76
29221,762.5
29223,774.13
29225,593.74
29227,266.77
29229,683.24
29510,66.15
30000,147046.16
30001,5572.35
30003,5014.72
30005,4238.98
30007,1238.94
30009,2062.26
30011,3348.41
30013,2711.74
30015,3997.13
30017,3793.37
30019,1426.57
30021,2383.23
30023,741.27
30025,1623.06
30027,4350.51
30029,5256.6
30031,2532.73
30033,4847.66
30035,3037.12
30037,1176.42
30039,1733.17
30041,2916.07
30043,1658.89
30045,1870.75
30047,1653.75
30049,3497.63
30051,1447.18
30053,3675.22
30055,2682.84
30057,3602.93
30059,2394.87
30061,1223.43
30063,2618.39
30065,1870.94
30067,2666.73
30069,1674.05
30071,5212.22
30073,1639.83
30075,3298.02
30077,2332.71
30079,1742.61
30081,2400.39
30083,2103.08
30085,2369.7
30087,5026.96
30089,2790.18
30091,1706.38
30093,718.99
30095,1804.71
30097,1862.1
30099,2292.57
30101,1945.82
30103,984.14
30105,5062.08
30107,1428.37
30109,890.12
30111,2649.11
30113,246.12
31000,77358.4
31001,564.19
31003,858.49
31005,718.36
31007,746.43
31009,714.39
31011,687.3
31013,1077.92
31015,544.64
31017,1225.15
31019,975.31
31021,497.12
31023,584.43
31025,566.27
31027,745.86
31029,897.67
31031,6009.87
31033,1196.55
31035,573.56
31037,418.61
31039,574.58
31041,2576.21
31043,267.41
31045,1400.9
31047,1019.34
31049,440.83
31051,482.75
31053,543.98
31055,339.65
31057,920.84
31059,576.66
31061,576.13
31063,980.11
31065,720.53
31067,859.99
31069,1731.15
31071,571.36
31073,462.77
31075,783.27
31077,570.74
31079,552.25
31081,546.76
31083,574.2
31085,713.37
31087,718.62
31089,2417.8
31091,721.54
31093,575.77
31095,575.53
31097,376.84
31099,516.15
31101,1109.85
31103,774.21
31105,952.38
31107,1139.75
